title,rating,director,rank,quote
千年女优,8.8,导演: 今敏 Satoshi Kon,240,
战争之王,8.7,导演: 安德鲁·尼科尔 Andrew Niccol,241,做一颗让别人需要你的棋子。
谍影重重2,8.7,导演: 保罗·格林格拉斯 Paul Greengrass,242,谁说王家卫镜头很晃？
蜘蛛侠：平行宇宙,8.6,导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,243,
攻壳机动队,9.0,导演: 押井守 Mamoru Oshii,244,
血钻,8.7,导演: 爱德华·兹威克 Edward Zwick,245,每个美丽事物背后都是滴血的现实。
小姐,8.5,导演: 朴赞郁 Chan-wook Park,246,
隐藏人物,8.9,导演: 特奥多尔·梅尔菲 Theodore Melfi,247,
血观音,8.6,导演: 杨雅喆 Ya-che Yang,248,
魂断蓝桥,8.8,导演: 茂文·勒鲁瓦 Mervyn LeRoy,249,
房间,8.7,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,250,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
